idScenarios,idTechnologies,idzones,year,hour,supply,quantum,Col
1,91,0,2022,4527,1,2882.2,4
1,91,0,2022,4528,1,3066.95,4
1,91,0,2022,4529,1,3259.39,4
1,91,0,2022,4530,1,3450.56,4
1,91,0,2022,4531,1,3721.41,4
1,91,0,2022,4532,1,4059.77,4
1,91,0,2022,4533,1,4425.21,4
1,91,0,2022,4534,1,4989,4
1,91,0,2022,4535,1,5543.34,4
1,91,0,2022,4536,1,5899.39,4
1,91,0,2022,4537,1,5997.6,4
1,91,0,2022,4538,1,5997.6,4
1,91,0,2022,4539,1,5997.6,4
1,91,0,2022,4540,1,5997.6,4
1,91,0,2022,4541,1,5997.6,4
1,91,0,2022,4542,1,5997.6,4
1,91,0,2022,4543,1,5997.6,4
1,91,0,2022,4544,1,5997.6,4
1,91,0,2022,4545,1,5995.8,4
1,91,0,2022,4546,1,5916.67,4
1,91,0,2022,4547,1,5751.44,4
1,91,0,2022,4548,1,5679.14,4
1,91,0,2022,4549,1,5841.78,4
1,91,0,2022,4550,1,5992.44,4
1,91,0,2022,4551,1,5997.6,4
1,91,0,2022,4552,1,5994.2,4
1,91,0,2022,4553,1,5992,4
1,91,0,2022,4554,1,5997.6,4
1,91,0,2022,4555,1,5923.67,4
1,91,0,2022,4556,1,5921.88,4
1,91,0,2022,4557,1,5833.33,4
1,91,0,2022,4558,1,5547.83,4
1,91,0,2022,4559,1,5550.12,4
1,91,0,2022,4560,1,5537.16,4
1,91,0,2022,4561,1,5477.48,4
1,91,0,2022,4562,1,5492.21,4
1,91,0,2022,4563,1,5427.05,4
1,91,0,2022,4564,1,5108.85,4
1,91,0,2022,4565,1,4733.35,4
1,91,0,2022,4566,1,4296.79,4
1,91,0,2022,4567,1,3666.05,4
1,91,0,2022,4568,1,2997.51,4
1,91,0,2022,4569,1,2145.53,4
1,91,0,2022,4570,1,2275.14,4
1,91,0,2022,4571,1,2729.62,4
1,91,0,2022,4572,1,2793.73,4
1,91,0,2022,4573,1,2691.05,4
1,91,0,2022,4574,1,2668.44,4
1,91,0,2022,4575,1,2573.38,4
1,91,0,2022,4576,1,2209.3,4
1,91,0,2022,4577,1,1695.7,4
1,91,0,2022,4578,1,1149.1,4
1,91,0,2022,4579,1,1040.33,4
1,91,0,2022,4580,1,930.34,4
1,91,0,2022,4581,1,903.45,4
1,91,0,2022,4582,1,834.6,4
1,91,0,2022,4583,1,823.92,4
1,91,0,2022,4584,1,809.09,4
1,91,0,2022,4585,1,795.17,4
1,91,0,2022,4586,1,817.41,4
1,91,0,2022,4587,1,852.44,4
1,91,0,2022,4588,1,842.39,4
1,91,0,2022,4589,1,888.95,4
1,91,0,2022,4590,1,832.65,4
1,91,0,2022,4591,1,1096.54,4
1,91,0,2022,4592,1,1273.17,4
1,91,0,2022,4593,1,1069.47,4
1,91,0,2022,4594,1,511.66,4
1,91,0,2022,4595,1,534.91,4
1,91,0,2022,4596,1,512.62,4
1,91,0,2022,4597,1,475.91,4
1,91,0,2022,4598,1,502.42,4
1,91,0,2022,4599,1,500.29,4
1,91,0,2022,4600,1,488.12,4
1,91,0,2022,4601,1,432.12,4
1,91,0,2022,4602,1,482.94,4
1,91,0,2022,4603,1,791.8,4
1,91,0,2022,4604,1,1176.31,4
1,91,0,2022,4605,1,1491.17,4
1,91,0,2022,4606,1,1873.8,4
1,91,0,2022,4607,1,2116.6,4
1,91,0,2022,4608,1,2556.9,4
1,91,0,2022,4609,1,2865.1,4
